#systematic_name	gene_name	transcript_clusters
NA	RAB25	TC01001311.hg.1
NA	ST13	TC22000816.hg.1
NA	NPY	TC07000153.hg.1
NA	CACNB2	TC10000138.hg.1,TC10001922.hg.1
NA	PDX1	TC13000082.hg.1
NA	CASP2	TC07000932.hg.1
NA	CASP6	TC04001464.hg.1
NA	MIR148A	TC07001213.hg.1
NA	UBD	TC6_mcf_hap5000215.hg.1,TC6_cox_hap2000249.hg.1,TC6_mann_hap4000198.hg.1,TC6_qbl_hap6000227.hg.1,TC6_apd_hap1000126.hg.1,TC6_dbb_hap3000228.hg.1,TC06004113.hg.1
NA	HLA-E	TC06000338.hg.1,TC6_mcf_hap5000023.hg.1,TC6_mann_hap4000031.hg.1,TC6_qbl_hap6000029.hg.1,TC6_cox_hap2000036.hg.1,TC6_ssto_hap7000029.hg.1,TC6_dbb_hap3000029.hg.1
NA	SDHA	TC05000004.hg.1
NA	PSMB7	TC09001578.hg.1
NA	SRSF6	TC20000316.hg.1,TC20001227.hg.1
NA	KCNH1	TC01003791.hg.1,TC01006085.hg.1
NA	BCL11B	TC14001497.hg.1
NA	PER3	TC01000100.hg.1
NA	DEK	TC06001302.hg.1
NA	MMP16	TC08001396.hg.1
NA	FGF10	TC05001324.hg.1
NA	OSM	TC22000648.hg.1
NA	GLS	TC02004750.hg.1,TC02001122.hg.1
NA	RAN	TC06000337.hg.1,TC12001038.hg.1
NA	FDPS	TC01001299.hg.1
NA	TBX3	TC12002000.hg.1,TC12003096.hg.1
NA	HSPA9	TC05001832.hg.1
NA	ARNTL	TC11000206.hg.1
NA	MTSS1	TC08001602.hg.1,TC08002510.hg.1
NA	TFDP1	TC13000426.hg.1,TC13001318.hg.1
NA	EGLN1	TC01003968.hg.1,TC01006192.hg.1
NA	ADAMTS1	TC21000345.hg.1,TC21000891.hg.1
NA	IKZF1	TC07000313.hg.1
NA	WISP2	TC20000335.hg.1
NA	OSMR	TC05000179.hg.1
NA	ADRB2	TC05000814.hg.1
NA	CTBP1	TC04000963.hg.1
NA	MIR124-2	TC08000431.hg.1
NA	MIR497	TC17001072.hg.1
NA	FBXO30	TC06002196.hg.1
NA	TERF1	TC08000479.hg.1
NA	CD163	TC12001162.hg.1
NA	CSTA	TC03000630.hg.1
NA	ANGPTL4	TC19000147.hg.1
NA	PSMA2	TC07003353.hg.1
NA	NID1	TC01005131.hg.1,TC01004003.hg.1
NA	NCR1	TC19000886.hg.1
NA	ODAM	TC04000380.hg.1
NA	OVGP1	TC01002984.hg.1
NA	LAS1L	TC0X001098.hg.1
NA	MLF2	TC12001149.hg.1,TC12002728.hg.1
NA	CORO1B	TC11003490.hg.1
NA	TP53BP2	TC01003874.hg.1
NA	FLNA	TC0X001530.hg.1
NA	EFNA1	TC01001288.hg.1
NA	MIR206	TC06000650.hg.1
NA	JUND	TC19001285.hg.1
NA	BIRC6	TC02000213.hg.1
NA	UGT2B7	TC04000371.hg.1
NA	PBK	TC08001086.hg.1
NA	RNASE1	TC14000902.hg.1
NA	SPTBN2	TC11001975.hg.1,TC11003216.hg.1,TC11003214.hg.1,TC11003215.hg.1
NA	SACS	TC13000483.hg.1
NA	BMX	TC0X000067.hg.1
NA	FAAH	TC01000585.hg.1
NA	LAMA5	TC20001697.hg.1,TC20001008.hg.1
NA	LEMD1	TC01003747.hg.1,TC01006056.hg.1
NA	FOXC2	TC16000670.hg.1
NA	EGLN2	TC19002634.hg.1
NA	GRK1	TC13000427.hg.1
NA	GRK4	TC04001862.hg.1,TC04000042.hg.1,TC04000041.hg.1
NA	LAMA2	TC06000976.hg.1
NA	TRIM29	TC11002375.hg.1
NA	FUT8	TC14000397.hg.1,TC14001735.hg.1
NA	TXNRD1	TC12000810.hg.1
NA	VCP	TC09001048.hg.1,TC09002468.hg.1
NA	MIR451A	TC17001308.hg.1
NA	MIR15A	TC13000668.hg.1
NA	MYH11	TC16000898.hg.1
NA	MIR378A	
NA	SART1	TC11000649.hg.1
NA	HPS3	TC03000803.hg.1
NA	ANG	TC14000067.hg.1
NA	HTATIP2	TC11000256.hg.1
NA	SLCO1B1	TC12003240.hg.1,TC12002283.hg.1
NA	SSTR1	TC14000243.hg.1
NA	SFRP4	TC07001293.hg.1
NA	CLIC1	TC6_mcf_hap5000221.hg.1,TC6_ssto_hap7000209.hg.1,TC6_mann_hap4000206.hg.1,TC6_dbb_hap3000236.hg.1,TC6_cox_hap2000255.hg.1,TC6_qbl_hap6000233.hg.1,TC06004119.hg.1
NA	IGFBP6	TC12000428.hg.1
NA	AQP5	TC12000384.hg.1
NA	MIR335	TC07000816.hg.1
NA	TTR	TC18000129.hg.1
NA	UNG	TC12000843.hg.1
NA	EIF5A	TC17000088.hg.1
NA	TYK2	TC19001164.hg.1
NA	CCL21	TC09001045.hg.1
NA	CSAG2	
NA	SGO1	
NA	SDF4	TC01002087.hg.1
NA	SLC12A5	TC20000364.hg.1
NA	ACIN1	TC14000948.hg.1
NA	MCM3AP	TC21000555.hg.1
NA	SNRPB2	TC20000104.hg.1,TC20001115.hg.1
NA	ST8SIA4	TC05001638.hg.1
NA	CDC14A	TC01000902.hg.1
NA	GALNS	TC16001345.hg.1
NA	GSE1	TC16000664.hg.1
NA	HOXC9	TC12003294.hg.1
NA	CAMSAP2	TC01001651.hg.1
NA	ANAPC4	TC04000176.hg.1
NA	HIST1H1B	TC06001426.hg.1
NA	LPIN1	TC02000078.hg.1
NA	FCN1	TC09001710.hg.1
NA	NELL1	TC11000259.hg.1,TC11002597.hg.1
NA	THBS2	TC06002330.hg.1
NA	HYAL1	TC03001427.hg.1
NA	EPS8	TC12001282.hg.1
NA	ARHGEF4	TC02000828.hg.1
NA	HSD11B1	TC01001750.hg.1
NA	SEP15	TC01002836.hg.1
NA	ARG1	TC06000983.hg.1
NA	CXCL13	TC04000432.hg.1
NA	MAP3K5	TC06002146.hg.1
NA	UBC	TC12002099.hg.1
NA	B3GALT5	TC21000177.hg.1,TC21000730.hg.1
NA	HIST3H3	TC01003915.hg.1
NA	CDC7	TC01000846.hg.1
NA	HSPD1	TC02002648.hg.1
NA	RAP1A	TC01000979.hg.1
NA	DSC2	TC18000436.hg.1
NA	ACTC1	TC15001201.hg.1
NA	PITX2	TC04001471.hg.1
NA	MMP15	TC16000500.hg.1
NA	PLS3	TC0X000568.hg.1
NA	SLC11A2	TC12001499.hg.1,TC12002877.hg.1
NA	METAP2	TC12000738.hg.1
NA	MYH9	TC22001326.hg.1,TC22000703.hg.1
NA	LIMA1	TC12001492.hg.1
NA	EDA	TC0X000365.hg.1
NA	CAPN6	TC0X001279.hg.1,TC0X001833.hg.1
NA	SLC6A3	TC05001109.hg.1,TC05002181.hg.1
NA	FABP1	TC02004392.hg.1,TC02002069.hg.1
NA	GPI	TC19000442.hg.1
NA	RELB	TC19000638.hg.1
NA	HECA	TC06001035.hg.1
NA	AICDA	TC12001180.hg.1,TC12002739.hg.1
NA	CCAT1	TC08001627.hg.1
NA	GATA5	TC20001011.hg.1
NA	PRF1	TC10001366.hg.1
NA	RHOD	TC11000679.hg.1
NA	MIR107	TC10000642.hg.1,TC10001508.hg.1
NA	MIR494	TC14000725.hg.1
NA	DFFA	TC01002190.hg.1
NA	GMNN	TC06000149.hg.1
NA	NR4A2	TC02002445.hg.1
NA	ABI1	TC10001120.hg.1,TC10001953.hg.1
NA	PLCB1	TC20000072.hg.1
NA	MIRLET7B	TC22001505.hg.1
NA	PTGER1	TC19002355.hg.1,TC19001237.hg.1
NA	SYT9	TC11000148.hg.1
NA	FAM110B	TC08000401.hg.1
NA	SALL3	TC18000261.hg.1
NA	MFF	TC02001362.hg.1
NA	SF3A1	TC22000650.hg.1
NA	ATP6V1E1	TC22000474.hg.1
NA	MYLK3	TC16001085.hg.1
NA	OMA1	TC01006360.hg.1
NA	GRID2	TC04000497.hg.1
NA	HIST1H1E	TC06000168.hg.1
NA	HTR3C	TC03000990.hg.1
NA	STAM	TC10000129.hg.1,TC10001921.hg.1
NA	TCEB3B	TC18000491.hg.1
NA	ARFGEF1	TC08001293.hg.1
NA	HTR5A	TC07001035.hg.1
NA	C8orf34	TC08000453.hg.1
NA	CACNB1	TC17001446.hg.1
NA	ZNF155	TC19000613.hg.1
NA	SPAG17	TC01003040.hg.1,TC01004662.hg.1
NA	PZP	TC12001188.hg.1
NA	STK32C	TC10001771.hg.1
NA	IGSF21	TC01000239.hg.1
NA	MYOT	TC05000689.hg.1
NA	UGT3A2	TC05002953.hg.1,TC05001267.hg.1
NA	UQCRC2	TC16000239.hg.1
NA	RAB5C	TC17001525.hg.1
NA	DLG3	TC0X000379.hg.1
NA	DHRS2	TC14000151.hg.1
NA	DUSP21	TC0X000211.hg.1
NA	SERPINA2	
NA	MIR92A1	TC13000322.hg.1
NA	MIR199A2	TC01003519.hg.1
NA	MIR23A	TC19001224.hg.1
NA	ATRX	TC0X001173.hg.1,TC0X002137.hg.1
NA	SOX10	TC22000781.hg.1
NA	GOLPH3	TC05001232.hg.1
NA	NDUFA1	TC0X000589.hg.1
NA	SERPINE2	TC02002823.hg.1
NA	CYP7A1	TC08001245.hg.1
NA	FAM215A	TC17000560.hg.1,TC17002219.hg.1
NA	AMD1	TC06000883.hg.1
NA	NAPSA	TC19001746.hg.1
NA	TACSTD2	TC01002706.hg.1
NA	SIRT7	TC17001964.hg.1
NA	MEIS1	TC02000386.hg.1
NA	MICB	TC6_dbb_hap3000053.hg.1,TC6_mcf_hap5000048.hg.1,TC6_qbl_hap6000239.hg.1,TC06000366.hg.1,TC6_apd_hap1000034.hg.1,TC6_mann_hap4000216.hg.1,TC6_ssto_hap7000189.hg.1,TC6_cox_hap2000235.hg.1
NA	ACVR2A	TC02000923.hg.1
NA	RDX	TC11003334.hg.1,TC11002274.hg.1
NA	TDGF1P3	TC0X001830.hg.1,TC0X000542.hg.1
NA	HLA-DQA1	TC06000400.hg.1,TC6_dbb_hap3000084.hg.1,TC6_mann_hap4000075.hg.1,TC6_qbl_hap6000082.hg.1,TC6_cox_hap2000091.hg.1,TC6_ssto_hap7000077.hg.1,TC6_mcf_hap5000076.hg.1,TC06002505.hg.1,TC06002502.hg.1
NA	DFNA5	TC07001205.hg.1
NA	CASP1	TC11003505.hg.1
NA	MIEN1	TC17001454.hg.1
NA	AIM2	TC01003383.hg.1
NA	ALDH9A1	TC01003466.hg.1
NA	YY1	TC14001851.hg.1,TC14001852.hg.1,TC14000632.hg.1
NA	COL4A1	TC13000872.hg.1
NA	PSMB8	TC6_cox_hap2000198.hg.1,TC6_apd_hap1000104.hg.1,TC6_qbl_hap6000186.hg.1,TC6_mann_hap4000166.hg.1,TC06001573.hg.1,TC6_mcf_hap5000173.hg.1,TC6_dbb_hap3000184.hg.1,TC6_ssto_hap7000168.hg.1
NA	AURKC	TC19000935.hg.1
NA	SSTR5	TC16000035.hg.1
NA	TRAP1	TC16000822.hg.1
NA	CTHRC1	TC08000646.hg.1
NA	MIR26B	TC02001302.hg.1
NA	COL4A5	TC0X001822.hg.1,TC0X000532.hg.1
NA	PRPF8	TC17000981.hg.1
NA	KAT2B	TC03000113.hg.1
NA	LAMA3	TC18000103.hg.1
NA	FTO	TC16000449.hg.1
NA	ACY1	TC03003358.hg.1
NA	HSF1	TC08000849.hg.1
NA	CD59	TC11001540.hg.1,TC11003113.hg.1
NA	TBXAS1	TC07002618.hg.1,TC07000877.hg.1
NA	GLS2	TC12001607.hg.1
NA	RFC4	TC03002088.hg.1
NA	FUT2	TC19000709.hg.1
NA	F7	TC13000416.hg.1
NA	RBP3	TC10001250.hg.1
NA	REG3A	TC02002019.hg.1
NA	LGMN	TC14001451.hg.1
NA	PES1	TC22001300.hg.1,TC22000658.hg.1
NA	IL17F	TC06001798.hg.1
NA	MIR215	TC01003836.hg.1
NA	TIMP4	TC03001169.hg.1
NA	WASF3	TC13000070.hg.1
NA	ACKR3	TC02001437.hg.1
NA	MIR218-1	TC04000160.hg.1
NA	LUM	TC12001803.hg.1
NA	PEA15	TC01001364.hg.1
NA	NPAS2	TC02000611.hg.1
NA	MSH5	TC6_apd_hap1000038.hg.1,TC6_dbb_hap3000068.hg.1,TC06000383.hg.1,TC6_mann_hap4000068.hg.1,TC6_cox_hap2000077.hg.1,TC6_ssto_hap7000064.hg.1,TC6_qbl_hap6000068.hg.1,TC6_mcf_hap5000063.hg.1
NA	CSAG3	TC0X001920.hg.1,TC0X001501.hg.1,TC0X000742.hg.1
NA	DNTT	TC10000684.hg.1
NA	SART3	TC12001936.hg.1,TC12001935.hg.1
NA	SOX17	TC08000376.hg.1,TC08002332.hg.1
NA	SNHG16	TC17002374.hg.1
NA	GRK7	TC03000765.hg.1
NA	MUC21	TC6_apd_hap1000031.hg.1,TC6_qbl_hap6000044.hg.1,TC6_dbb_hap3000044.hg.1,TC6_mann_hap4000046.hg.1,TC6_mcf_hap5000038.hg.1,TC06000353.hg.1,TC6_cox_hap2000051.hg.1
NA	MUC19	TC12000310.hg.1
NA	TFF2	TC21000485.hg.1
NA	P2RY2	TC11002779.hg.1,TC11000772.hg.1
NA	HRH4	TC18000111.hg.1
NA	PPP2CA	TC05003406.hg.1
NA	RAD21	TC08001546.hg.1
NA	ATP7A	TC0X000424.hg.1
NA	PLD1	TC03002002.hg.1,TC03002001.hg.1
NA	AIP	TC11000693.hg.1
NA	FER	TC05000509.hg.1
NA	YWHAZ	TC08001485.hg.1,TC08002451.hg.1
NA	NCK1	TC03003323.hg.1
NA	ABO	TC09002317.hg.1,TC09001683.hg.1
NA	TUBA1B	TC12001470.hg.1
NA	ETV5	TC03003333.hg.1
NA	MIR7-1	TC09001284.hg.1
NA	CAMP	TC03000276.hg.1
NA	BNIP3L	TC08000200.hg.1
NA	RPS3	TC11000806.hg.1
NA	CCL22	TC16000487.hg.1
NA	PSG9	TC19001584.hg.1
NA	HSPH1	TC13000539.hg.1
NA	RASSF5	TC01001724.hg.1
NA	ANO1	TC11000721.hg.1,TC11002761.hg.1
NA	SUV39H1	TC0X000258.hg.1
NA	MIR192	TC11001917.hg.1
NA	CDC20	TC01000545.hg.1
NA	VAV3	TC01002940.hg.1
NA	CLDN8	TC21000363.hg.1
NA	GPX3	TC05000838.hg.1,TC05000837.hg.1
NA	USP22	TC17001263.hg.1
NA	ST7	TC07000724.hg.1
NA	EPHX2	TC08000208.hg.1
NA	PAK7	TC20000615.hg.1
NA	SALL4	TC20000945.hg.1
NA	DVL3	TC03000993.hg.1
NA	ZMIZ1	TC10002160.hg.1,TC10000565.hg.1
NA	CYSLTR1	TC0X001177.hg.1
NA	CLDN2	TC0X000521.hg.1
NA	ACHE	TC07001680.hg.1
NA	ATP2A3	TC17001015.hg.1
NA	PGK1	TC0X000425.hg.1
NA	F10	TC13000417.hg.1
NA	CAMKK2	TC12002061.hg.1
NA	TPT1	TC13000631.hg.1
NA	BCL9L	TC11002355.hg.1
NA	PRSS2	TC07003346.hg.1
NA	ESM1	TC05001352.hg.1
NA	NLK	TC17000315.hg.1
NA	TKTL1	TC0X000767.hg.1
NA	LCP1	TC13000642.hg.1
NA	AIMP1	TC04000549.hg.1
NA	MIR194-1	TC01003837.hg.1
NA	OIP5	TC15001248.hg.1
NA	SOD3	TC04000173.hg.1
NA	MED1	TC17002613.hg.1,TC17001449.hg.1
NA	ZFP36	TC19000544.hg.1
NA	HSPB2	TC11001001.hg.1
NA	CRABP1	TC15000728.hg.1
NA	DUT	TC15000377.hg.1
NA	LPL	TC08000149.hg.1
NA	GSTT2	TC22000142.hg.1,TC22000580.hg.1
NA	HACE1	TC06001972.hg.1
NA	RORA	TC15002563.hg.1,TC15001507.hg.1
NA	FGF19	TC11002018.hg.1
NA	SLC14A2	TC18000161.hg.1
NA	MIRLET7C	TC21000042.hg.1
NA	SLC16A4	TC01002971.hg.1
NA	SKIL	TC03000917.hg.1,TC03002656.hg.1
NA	RPL27A	TC11003498.hg.1,TC11003497.hg.1
NA	MMP21	TC10001738.hg.1
NA	ZFYVE9	TC01000639.hg.1
NA	LMTK3	TC19001684.hg.1
NA	HPSE2	TC10001579.hg.1
NA	IL11RA	TC09002897.hg.1
NA	SKI	TC01000057.hg.1
NA	LIMS1	TC02004997.hg.1,TC02002201.hg.1,TC02000667.hg.1
NA	MIR93	TC07001656.hg.1
NA	MTA2	TC11001870.hg.1
NA	SPOP	TC17001670.hg.1
NA	EFEMP1	TC02001867.hg.1
NA	GLO1	TC06001692.hg.1
NA	ARHGDIB	TC12001278.hg.1
NA	DAB2	TC05003425.hg.1,TC05002969.hg.1
NA	UGCG	TC09000560.hg.1
NA	ITPR3	TC06000427.hg.1
NA	SLC22A1	TC06001154.hg.1
NA	INPPL1	TC11000756.hg.1
NA	TRO	TC0X000325.hg.1
NA	GAS5	TC01003532.hg.1,TC01005942.hg.1
NA	S100A14	TC01003270.hg.1
NA	PPP1R1B	TC17000477.hg.1
NA	ARID1B	TC06003148.hg.1,TC06001123.hg.1
NA	CSNK1D	TC17001976.hg.1
NA	MIR185	TC22000052.hg.1
NA	CD38	TC04000145.hg.1
NA	HOXB8	TC17001646.hg.1
NA	MAPRE3	TC02000157.hg.1
NA	ZNF572	TC08000728.hg.1,TC08000727.hg.1
NA	SDCBP2	TC20001740.hg.1
NA	BPIFB2	TC20000220.hg.1
NA	FRMPD2	TC10001231.hg.1,TC10001261.hg.1
NA	PARP8	TC05000209.hg.1
NA	PCDH11X	TC0X000454.hg.1,TC0Y000021.hg.1
NA	SETD4	TC21000949.hg.1,TC21000427.hg.1
NA	SLC26A10	TC12003248.hg.1
NA	RPAP1	TC15001252.hg.1
NA	SLC33A1	TC03001930.hg.1,TC03001929.hg.1
NA	SLC1A7	TC01002665.hg.1
NA	PANK4	TC01002120.hg.1
NA	PBX4	TC19001304.hg.1,TC19002381.hg.1
NA	SLITRK4	TC0X001446.hg.1
NA	ERICH1	TC08000881.hg.1
NA	ZNF804A	TC02001095.hg.1
NA	GFI1B	TC09000763.hg.1
NA	ZNHIT1	TC07000646.hg.1
NA	ERI2	TC16002040.hg.1
NA	SNX8	TC07001096.hg.1,TC07002749.hg.1
NA	ZZZ3	TC01002799.hg.1
NA	ZSCAN5A	TC19001886.hg.1
NA	ZSCAN16	TC06000275.hg.1
NA	SCNN1G	TC16000253.hg.1
NA	ZNF43	TC19002397.hg.1,TC19000397.hg.1,TC19001356.hg.1
NA	ZNF471	TC19000925.hg.1
NA	ZNF560	TC19001147.hg.1
NA	ZNF624	TC17001176.hg.1
NA	EML2	TC19001625.hg.1,TC19002522.hg.1
NA	ZNF480	TC19000795.hg.1
NA	ZNF232	TC17001043.hg.1
NA	PAN2	TC12003215.hg.1
NA	ZNF540	TC19000518.hg.1
NA	GMCL1P1	TC05003374.hg.1,TC05002121.hg.1
NA	P2RY14	TC03001904.hg.1
NA	KDF1	TC01002399.hg.1
NA	TOMM40L	TC01001383.hg.1
NA	LRRC4	TC07001842.hg.1
NA	LRRC47	TC01002136.hg.1
NA	GDAP1L1	TC20000327.hg.1
NA	ISLR	TC15000678.hg.1
NA	IQUB	TC07001819.hg.1
NA	CCDC93	TC02002244.hg.1
NA	JAKMIP2	TC05001910.hg.1
NA	TRAF3IP3	TC01001751.hg.1
NA	PIGO	TC09001050.hg.1
NA	NLGN4X	
NA	GABRA6	TC05000902.hg.1
NA	NDST3	TC04000598.hg.1
NA	CD300E	TC17001860.hg.1
NA	TCERG1L	TC10001767.hg.1
NA	TMEM140	TC07000840.hg.1
NA	PDZRN4	TC12000313.hg.1
NA	PDILT	TC16000925.hg.1
NA	TMEM164	TC0X000538.hg.1
NA	RAB38	TC11002174.hg.1
NA	C12orf76	TC12001960.hg.1
NA	PEX5L	TC03002041.hg.1,TC03003227.hg.1
NA	CCDC129	TC07000203.hg.1
NA	ALS2CR11	TC02002675.hg.1
NA	LONRF2	TC02002137.hg.1
NA	HR	TC08001033.hg.1
NA	HIST1H2BM	TC06000265.hg.1
NA	GTF2B	TC01002843.hg.1
NA	PLPPR2	TC19000195.hg.1
NA	C15orf52	TC15001234.hg.1
NA	MS4A5	TC11000509.hg.1
NA	RIC3	TC11001384.hg.1
NA	CDKL5	TC0X000088.hg.1
NA	CINP	TC14001528.hg.1,TC14001529.hg.1
NA	CHST8	TC19000438.hg.1
NA	TTLL10	TC01000030.hg.1
NA	KCNA10	TC01002974.hg.1
NA	VSTM4	TC10002634.hg.1,TC10001271.hg.1
NA	RNPEPL1	TC02001467.hg.1
NA	ETAA1	TC02000393.hg.1
NA	OLFM2	TC19001155.hg.1
NA	SPNS3	TC17000041.hg.1
NA	HIVEP3	TC01005428.hg.1,TC01002568.hg.1,TC01005427.hg.1,TC01005429.hg.1
NA	KIAA1468	TC18000220.hg.1
NA	VRTN	TC14000457.hg.1
NA	ETFDH	TC04000806.hg.1
NA	OR1E2	TC17001007.hg.1
NA	ASUN	TC12001330.hg.1
NA	AMPD1	TC01003013.hg.1
NA	ARHGEF10L	TC01000236.hg.1
NA	WDR49	TC03003332.hg.1
NA	OSBP	TC11001827.hg.1
NA	OTOP2	TC17000836.hg.1
NA	FERD3L	TC07001176.hg.1
NA	SPACA7	TC13000409.hg.1
NA	AMDHD2	TC16000076.hg.1
NA	AGTPBP1	TC09002051.hg.1,TC09001287.hg.1
NA	WAC	TC10001962.hg.1,TC10000196.hg.1
NA	AMER2	TC13000496.hg.1,TC13001367.hg.1
NA	VPS18	TC15000297.hg.1
NA	FBXL2	TC03000166.hg.1
NA	PQBP1	TC0X000263.hg.1
NA	PKNOX1	TC21001064.hg.1
NA	PQLC1	TC18000590.hg.1
NA	PUS10	TC02001889.hg.1
NA	NPBWR2	TC20001048.hg.1
NA	KCND3	TC01002992.hg.1,TC01005711.hg.1
NA	KCNB2	TC08000476.hg.1
NA	KCNH4	TC17001526.hg.1
NA	ZDHHC7	TC16001315.hg.1
NA	ZBTB8B	TC01006317.hg.1
NA	AMTN	TC04000387.hg.1
NA	ATAD1	TC10001492.hg.1
NA	FCN2	TC09000788.hg.1
NA	ZMYM4	TC01000456.hg.1
NA	TSPEAR	TC21000526.hg.1
NA	CSRNP3	TC02003666.hg.1,TC02000986.hg.1
NA	CORO2B	TC15000629.hg.1
NA	UNC13B	TC09000182.hg.1
NA	CPO	TC02001224.hg.1
NA	CLSTN3	TC12000108.hg.1
NA	CSNK1A1L	TC13000573.hg.1
NA	GABPB1	TC15001350.hg.1
NA	DEFA4	TC08000908.hg.1
NA	DMRTA1	TC09000109.hg.1
NA	DMKN	TC19001445.hg.1,TC19002457.hg.1
NA	DCHS1	TC11001363.hg.1
NA	DSEL	TC18000564.hg.1
NA	DNALI1	TC01000475.hg.1
NA	PTGIS	TC20000927.hg.1
NA	MIR320A	TC08001037.hg.1
NA	HDAC7	TC12001438.hg.1
NA	LCK	TC01000426.hg.1
NA	GAB2	TC11002136.hg.1
NA	CX3CR1	TC03001304.hg.1
NA	GAS1	TC09001295.hg.1
NA	LCT	TC02002374.hg.1
NA	MIR106A	TC0X001386.hg.1
NA	SMOX	TC20000048.hg.1
NA	EDN3	TC20000470.hg.1
NA	HHIP	TC04000706.hg.1
NA	SLC22A5	TC05000635.hg.1
NA	HUWE1	TC0X002079.hg.1,TC0X001067.hg.1
NA	BIK	TC22000361.hg.1
NA	CFL1	TC11001944.hg.1,TC11001945.hg.1
NA	MIR22	TC17000983.hg.1
NA	AKR1B1	TC07001883.hg.1
NA	APOBEC3G	TC22001468.hg.1
NA	MIR135A1	TC03001452.hg.1
NA	VASH1	TC14000482.hg.1
NA	LTBP1	TC02000219.hg.1
NA	PF4	TC04001281.hg.1
NA	CXCR6	TC03000253.hg.1
NA	RAP1GAP	TC01002326.hg.1
NA	LFS3	
NA	CRY2	TC11000388.hg.1
NA	PECAM1	TC17001798.hg.1
NA	CKB	TC14002176.hg.1,TC14001538.hg.1
NA	CASC8	TC08001629.hg.1,TC08002519.hg.1
NA	MIR429	TC01000029.hg.1
NA	HGFAC	TC04000047.hg.1
NA	WWTR1	TC03001890.hg.1
NA	PPP2R1A	TC19000792.hg.1,TC19002217.hg.1
NA	RPL28	TC19000896.hg.1
NA	RPS5	TC19000964.hg.1
NA	DOCK4	TC07001761.hg.1,TC07003113.hg.1
NA	TMEM97	TC17000319.hg.1
NA	PLIN2	TC09000935.hg.1,TC09002418.hg.1
NA	DSE	TC06000918.hg.1
NA	CCDC88A	TC02001860.hg.1
NA	SDC2	TC08000590.hg.1
NA	CDT1	TC16000686.hg.1
NA	CD247	TC01003479.hg.1
NA	NME2	TC17002881.hg.1
NA	NT5E	TC06000779.hg.1
NA	NCL	TC02002859.hg.1
NA	GPX2	TC14001223.hg.1
NA	TFAM	TC10000361.hg.1,TC10002078.hg.1
NA	GJB1	TC0X000384.hg.1
NA	CCL11	TC17000385.hg.1,TC17002171.hg.1
NA	NMT1	TC17000577.hg.1
NA	YES1	TC18000278.hg.1
NA	ADAR	TC01003295.hg.1
NA	BATF2	TC11001921.hg.1
NA	SULF2	TC20000913.hg.1
NA	PPP1R3A	TC07001770.hg.1
NA	LYPD3	TC19001586.hg.1
NA	WARS	TC14001509.hg.1
NA	ESRRG	TC01003822.hg.1,TC01006110.hg.1
NA	DVL2	TC17001079.hg.1
NA	TFPI	TC02002606.hg.1,TC02004744.hg.1
NA	RNASET2	TC06004058.hg.1
NA	UGDH	TC04001130.hg.1,TC04002517.hg.1
NA	SCAF1	TC19000742.hg.1
NA	HEY1	TC08001351.hg.1
NA	MIR196A1	TC17001648.hg.1
NA	ZBTB7A	TC19001057.hg.1
NA	CALD1	TC07000838.hg.1
NA	DDX6	TC11002353.hg.1,TC11003376.hg.1
NA	TPM1	TC15000578.hg.1
NA	SSTR3	TC22001334.hg.1,TC22000724.hg.1
NA	SREBF1	TC17001192.hg.1
NA	TH	TC11003002.hg.1,TC11001276.hg.1
NA	ABL2	TC01003566.hg.1
NA	TRRAP	TC07003396.hg.1
NA	RGS6	TC14001761.hg.1,TC14000435.hg.1
NA	RPH3AL	TC17000963.hg.1
NA	MIR181A1	TC01003672.hg.1
NA	EPHB3	TC03001007.hg.1
NA	LRIG1	TC03001532.hg.1
NA	ABCC5	TC03002064.hg.1
NA	ARHGDIA	TC17001961.hg.1
NA	CYP2W1	TC07000013.hg.1
NA	DKK2	TC04001453.hg.1
NA	CLDN23	TC08001787.hg.1,TC08000059.hg.1
NA	ITGAM	TC16000374.hg.1
NA	FGF20	TC08001010.hg.1
NA	IMPDH2	TC03001397.hg.1
NA	ST3GAL2	TC16001236.hg.1
NA	PRSS50	
NA	T	TC06002304.hg.1
NA	CCL18	TC17000406.hg.1
NA	TNFSF9	TC19000117.hg.1
NA	BAG3	TC10000868.hg.1
NA	CLEC3B	TC03003350.hg.1
NA	CLIC4	TC01000314.hg.1
NA	CCR4	TC03000164.hg.1
NA	MYRF	TC11000539.hg.1
NA	NUF2	TC01001430.hg.1
NA	TNFSF12	TC17002035.hg.1,TC17002864.hg.1
NA	SPRR3	TC01001247.hg.1
NA	CARM1	TC19000188.hg.1
NA	MIR146B	TC10000755.hg.1
NA	TIA1	TC02003312.hg.1,TC02004925.hg.1
NA	BRD7	TC16001104.hg.1
NA	MALT1	TC18000205.hg.1
NA	ADGRB1	TC08000806.hg.1
NA	TMPO	TC12000761.hg.1,TC12003032.hg.1
NA	HDAC8	TC0X001141.hg.1
NA	MIR122	TC18000203.hg.1
NA	MIR129-2	TC11000366.hg.1
NA	MIR9-2	TC05001577.hg.1
NA	MIR423	TC17000347.hg.1
NA	MIR181A2	TC09000641.hg.1
NA	F2RL3	TC19000326.hg.1
NA	SLC2A3	TC12001170.hg.1,TC12002734.hg.1
NA	STOML2	TC09001051.hg.1
NA	UNC5A	TC05001007.hg.1
NA	BAMBI	TC10000199.hg.1
NA	PPIA	TC07000278.hg.1
